"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;
;;;;;;;;;;;
07:57:18 AM    proc/s   cswch/s;;;;;;;;7:57:18;AM;proc/s;cswch/s
07:57:28 AM      1,50    235,50;;;;;;;;7:57:28;AM;1,5;235,5
07:57:38 AM      1,30    404,90;;;;;;;;7:57:38;AM;1,3;404,9
07:57:48 AM      0,90    336,60;;;;;;;;7:57:48;AM;0,9;336,6
07:57:58 AM      0,90    243,50;;;;;;;;7:57:58;AM;0,9;243,5
07:58:08 AM      0,80    396,20;;;;;;;;7:58:08;AM;0,8;396,2
07:58:18 AM      0,80    203,60;;;;;;;;7:58:18;AM;0,8;203,6
07:58:28 AM      0,90    217,60;;;;;;;;7:58:28;AM;0,9;217,6
07:58:38 AM      0,80    332,00;;;;;;;;7:58:38;AM;0,8;332
07:58:48 AM      0,80    179,60;;;;;;;;7:58:48;AM;0,8;179,6
07:58:58 AM      0,90    229,80;;;;;;;;7:58:58;AM;0,9;229,8
07:59:08 AM      1,20    385,80;;;;;;;;7:59:08;AM;1,2;385,8
07:59:18 AM      0,80    207,90;;;;;;;;7:59:18;AM;0,8;207,9
07:59:28 AM      0,90    204,20;;;;;;;;7:59:28;AM;0,9;204,2
07:59:38 AM      0,80    287,80;;;;;;;;7:59:38;AM;0,8;287,8
07:59:48 AM      0,80    169,70;;;;;;;;7:59:48;AM;0,8;169,7
07:59:58 AM      0,90    237,00;;;;;;;;7:59:58;AM;0,9;237
08:00:08 AM      1,60    317,10;;;;;;;;8:00:08;AM;1,6;317,1
08:00:18 AM      0,80    193,70;;;;;;;;8:00:18;AM;0,8;193,7
08:00:28 AM      0,90    356,30;;;;;;;;8:00:28;AM;0,9;356,3
08:00:38 AM      0,80    233,10;;;;;;;;8:00:38;AM;0,8;233,1
08:00:48 AM      0,80    162,20;;;;;;;;8:00:48;AM;0,8;162,2
08:00:58 AM      0,90    368,20;;;;;;;;8:00:58;AM;0,9;368,2
08:01:08 AM      2,20    272,80;;;;;;;;8:01:08;AM;2,2;272,8
08:01:18 AM      1,10    211,40;;;;;;;;8:01:18;AM;1,1;211,4
08:01:28 AM      1,00    215,40;;;;;;;;8:01:28;AM;1;215,4
08:01:38 AM      0,80    231,60;;;;;;;;8:01:38;AM;0,8;231,6
08:01:48 AM      1,30    164,20;;;;;;;;8:01:48;AM;1,3;164,2
08:01:58 AM      0,90    241,70;;;;;;;;8:01:58;AM;0,9;241,7
08:02:08 AM      0,80    374,60;;;;;;;;8:02:08;AM;0,8;374,6
08:02:18 AM      0,80    248,50;;;;;;;;8:02:18;AM;0,8;248,5
08:02:28 AM      0,90    188,30;;;;;;;;8:02:28;AM;0,9;188,3
08:02:38 AM      0,80    219,70;;;;;;;;8:02:38;AM;0,8;219,7
08:02:48 AM      0,80    158,10;;;;;;;;8:02:48;AM;0,8;158,1
08:02:58 AM      0,90    221,50;;;;;;;;8:02:58;AM;0,9;221,5
08:03:08 AM      0,80    193,40;;;;;;;;8:03:08;AM;0,8;193,4
08:03:18 AM      0,80    221,20;;;;;;;;8:03:18;AM;0,8;221,2
08:03:28 AM      1,60    232,50;;;;;;;;8:03:28;AM;1,6;232,5
08:03:38 AM      0,80    219,30;;;;;;;;8:03:38;AM;0,8;219,3
08:03:48 AM      1,10    181,60;;;;;;;;8:03:48;AM;1,1;181,6
08:03:58 AM      1,00    238,60;;;;;;;;8:03:58;AM;1;238,6
08:04:08 AM      0,80    233,30;;;;;;;;8:04:08;AM;0,8;233,3
08:04:18 AM      1,10    202,90;;;;;;;;8:04:18;AM;1,1;202,9
08:04:28 AM      1,00    512,39;;;;;;;;8:04:28;AM;1;512,39
08:04:38 AM      0,80    215,60;;;;;;;;8:04:38;AM;0,8;215,6
08:04:48 AM      1,10    178,00;;;;;;;;8:04:48;AM;1,1;178
08:04:58 AM      1,00    428,90;;;;;;;;8:04:58;AM;1;428,9
08:05:08 AM      0,80    223,10;;;;;;;;8:05:08;AM;0,8;223,1
08:05:18 AM      1,20    212,50;;;;;;;;8:05:18;AM;1,2;212,5
08:05:28 AM      0,90    398,80;;;;;;;;8:05:28;AM;0,9;398,8
08:05:38 AM      0,80    213,30;;;;;;;;8:05:38;AM;0,8;213,3
08:05:48 AM      0,80    185,00;;;;;;;;8:05:48;AM;0,8;185
08:05:58 AM      0,90    213,20;;;;;;;;8:05:58;AM;0,9;213,2
08:06:08 AM      0,80    368,60;;;;;;;;8:06:08;AM;0,8;368,6
08:06:18 AM      0,80    246,00;;;;;;;;8:06:18;AM;0,8;246
08:06:28 AM      0,90    215,10;;;;;;;;8:06:28;AM;0,9;215,1
08:06:38 AM      1,30    234,30;;;;;;;;8:06:38;AM;1,3;234,3
08:06:48 AM      0,80    182,90;;;;;;;;8:06:48;AM;0,8;182,9
08:06:58 AM      0,90    541,20;;;;;;;;8:06:58;AM;0,9;541,2
08:07:08 AM      0,80    220,50;;;;;;;;8:07:08;AM;0,8;220,5
08:07:18 AM      0,80    186,40;;;;;;;;8:07:18;AM;0,8;186,4
08:07:28 AM      0,90    487,80;;;;;;;;8:07:28;AM;0,9;487,8
08:07:38 AM      1,20    220,80;;;;;;;;8:07:38;AM;1,2;220,8
08:07:48 AM      0,80    185,70;;;;;;;;8:07:48;AM;0,8;185,7
08:07:58 AM      1,20    347,10;;;;;;;;8:07:58;AM;1,2;347,1
08:08:08 AM      0,90    227,30;;;;;;;;8:08:08;AM;0,9;227,3
08:08:18 AM      0,80    200,80;;;;;;;;8:08:18;AM;0,8;200,8
08:08:28 AM      0,90    222,90;;;;;;;;8:08:28;AM;0,9;222,9
08:08:38 AM      1,10    216,50;;;;;;;;8:08:38;AM;1,1;216,5
08:08:48 AM      1,20    210,60;;;;;;;;8:08:48;AM;1,2;210,6
08:08:58 AM      0,90    329,50;;;;;;;;8:08:58;AM;0,9;329,5
08:09:08 AM      0,80    366,50;;;;;;;;8:09:08;AM;0,8;366,5
08:09:18 AM      0,80    202,20;;;;;;;;8:09:18;AM;0,8;202,2
08:09:28 AM      0,90    230,10;;;;;;;;8:09:28;AM;0,9;230,1
08:09:38 AM      0,80    304,90;;;;;;;;8:09:38;AM;0,8;304,9
08:09:48 AM      0,80    198,30;;;;;;;;8:09:48;AM;0,8;198,3
08:09:58 AM      0,90    214,90;;;;;;;;8:09:58;AM;0,9;214,9
08:10:08 AM      1,50    430,60;;;;;;;;8:10:08;AM;1,5;430,6
08:10:18 AM      0,80    244,60;;;;;;;;8:10:18;AM;0,8;244,6
08:10:28 AM      0,90    228,40;;;;;;;;8:10:28;AM;0,9;228,4
08:10:38 AM      1,20    350,50;;;;;;;;8:10:38;AM;1,2;350,5
08:10:48 AM      0,80    191,90;;;;;;;;8:10:48;AM;0,8;191,9
08:10:58 AM      0,90    283,40;;;;;;;;8:10:58;AM;0,9;283,4
08:11:08 AM      0,80    236,40;;;;;;;;8:11:08;AM;0,8;236,4
08:11:18 AM      0,80    172,90;;;;;;;;8:11:18;AM;0,8;172,9
08:11:28 AM      0,90    345,00;;;;;;;;8:11:28;AM;0,9;345
08:11:38 AM      0,80    188,10;;;;;;;;8:11:38;AM;0,8;188,1
08:11:48 AM      0,80    182,80;;;;;;;;8:11:48;AM;0,8;182,8
08:11:58 AM      1,30    239,50;;;;;;;;8:11:58;AM;1,3;239,5
08:12:08 AM      0,80    404,70;;;;;;;;8:12:08;AM;0,8;404,7
08:12:18 AM      0,80    185,10;;;;;;;;8:12:18;AM;0,8;185,1
08:12:28 AM      0,90    252,90;;;;;;;;8:12:28;AM;0,9;252,9
08:12:38 AM      0,80    202,30;;;;;;;;8:12:38;AM;0,8;202,3
08:12:48 AM      0,80    177,50;;;;;;;;8:12:48;AM;0,8;177,5
08:12:58 AM      0,90    551,70;;;;;;;;8:12:58;AM;0,9;551,7
08:13:08 AM      0,80    232,60;;;;;;;;8:13:08;AM;0,8;232,6
08:13:18 AM      0,80    220,90;;;;;;;;8:13:18;AM;0,8;220,9
08:13:28 AM      0,90    355,00;;;;;;;;8:13:28;AM;0,9;355
08:13:38 AM      0,80    214,90;;;;;;;;8:13:38;AM;0,8;214,9
08:13:48 AM      0,80    179,10;;;;;;;;8:13:48;AM;0,8;179,1
08:13:58 AM      0,90    320,90;;;;;;;;8:13:58;AM;0,9;320,9
08:14:08 AM      0,80    240,50;;;;;;;;8:14:08;AM;0,8;240,5
08:14:18 AM      0,80    184,50;;;;;;;;8:14:18;AM;0,8;184,5
08:14:28 AM      0,90    206,20;;;;;;;;8:14:28;AM;0,9;206,2
08:14:38 AM      0,80    210,70;;;;;;;;8:14:38;AM;0,8;210,7
08:14:48 AM      0,80    182,70;;;;;;;;8:14:48;AM;0,8;182,7
08:14:58 AM      0,90    292,70;;;;;;;;8:14:58;AM;0,9;292,7
08:15:08 AM      0,80    221,00;;;;;;;;8:15:08;AM;0,8;221
08:15:18 AM      0,80    182,20;;;;;;;;8:15:18;AM;0,8;182,2
08:15:28 AM      0,90    209,00;;;;;;;;8:15:28;AM;0,9;209
08:15:38 AM      0,80    223,60;;;;;;;;8:15:38;AM;0,8;223,6
08:15:48 AM      1,10    181,30;;;;;;;;8:15:48;AM;1,1;181,3
08:15:58 AM      1,00    318,00;;;;;;;;8:15:58;AM;1;318
08:16:08 AM      0,80    233,80;;;;;;;;8:16:08;AM;0,8;233,8
08:16:18 AM      0,80    193,00;;;;;;;;8:16:18;AM;0,8;193
08:16:28 AM      0,90    390,00;;;;;;;;8:16:28;AM;0,9;390
08:16:38 AM      0,80    215,80;;;;;;;;8:16:38;AM;0,8;215,8
08:16:48 AM      0,80    165,00;;;;;;;;8:16:48;AM;0,8;165
08:16:58 AM      0,90    223,50;;;;;;;;8:16:58;AM;0,9;223,5
08:17:08 AM      0,80    208,00;;;;;;;;8:17:08;AM;0,8;208
08:17:18 AM      0,80    201,80;;;;;;;;8:17:18;AM;0,8;201,8
08:17:28 AM      0,90    431,60;;;;;;;;8:17:28;AM;0,9;431,6
08:17:38 AM      1,20    317,80;;;;;;;;8:17:38;AM;1,2;317,8
08:17:48 AM      0,80    162,00;;;;;;;;8:17:48;AM;0,8;162
08:17:58 AM      0,90    240,70;;;;;;;;8:17:58;AM;0,9;240,7
08:18:08 AM      0,90    419,88;;;;;;;;8:18:08;AM;0,9;419,88
08:18:18 AM      0,80    218,60;;;;;;;;8:18:18;AM;0,8;218,6
08:18:28 AM      0,90    379,00;;;;;;;;8:18:28;AM;0,9;379
08:18:38 AM      0,80    238,70;;;;;;;;8:18:38;AM;0,8;238,7
08:18:48 AM      1,20    172,50;;;;;;;;8:18:48;AM;1,2;172,5
08:18:58 AM      0,90    381,90;;;;;;;;8:18:58;AM;0,9;381,9
08:19:08 AM      0,80    204,10;;;;;;;;8:19:08;AM;0,8;204,1
08:19:18 AM      0,80    199,10;;;;;;;;8:19:18;AM;0,8;199,1
08:19:28 AM      0,90    348,60;;;;;;;;8:19:28;AM;0,9;348,6
08:19:38 AM      0,80    211,40;;;;;;;;8:19:38;AM;0,8;211,4
08:19:48 AM      0,80    162,40;;;;;;;;8:19:48;AM;0,8;162,4
08:19:58 AM      0,90    222,40;;;;;;;;8:19:58;AM;0,9;222,4
08:20:08 AM      1,50    344,50;;;;;;;;8:20:08;AM;1,5;344,5
08:20:18 AM      0,80    195,00;;;;;;;;8:20:18;AM;0,8;195
08:20:28 AM      0,90    193,50;;;;;;;;8:20:28;AM;0,9;193,5
08:20:38 AM      0,80    212,10;;;;;;;;8:20:38;AM;0,8;212,1
08:20:48 AM      0,80    171,00;;;;;;;;8:20:48;AM;0,8;171
08:20:58 AM      0,90    223,70;;;;;;;;8:20:58;AM;0,9;223,7
08:21:08 AM      0,80    203,50;;;;;;;;8:21:08;AM;0,8;203,5
08:21:18 AM      0,80    189,60;;;;;;;;8:21:18;AM;0,8;189,6
08:21:28 AM      0,90    215,60;;;;;;;;8:21:28;AM;0,9;215,6
08:21:38 AM      0,80    205,90;;;;;;;;8:21:38;AM;0,8;205,9
08:21:48 AM      0,80    178,70;;;;;;;;8:21:48;AM;0,8;178,7
08:21:58 AM      1,30    615,40;;;;;;;;8:21:58;AM;1,3;615,4
08:22:08 AM      1,20    241,30;;;;;;;;8:22:08;AM;1,2;241,3
08:22:18 AM      0,80    177,80;;;;;;;;8:22:18;AM;0,8;177,8
08:22:28 AM      0,90    207,80;;;;;;;;8:22:28;AM;0,9;207,8
08:22:38 AM      0,80    214,40;;;;;;;;8:22:38;AM;0,8;214,4
08:22:48 AM      0,80    178,00;;;;;;;;8:22:48;AM;0,8;178
08:22:58 AM      0,90    341,70;;;;;;;;8:22:58;AM;0,9;341,7
08:23:08 AM      0,80    209,50;;;;;;;;8:23:08;AM;0,8;209,5
08:23:18 AM      0,80    217,40;;;;;;;;8:23:18;AM;0,8;217,4
08:23:28 AM      0,90    379,00;;;;;;;;8:23:28;AM;0,9;379
08:23:38 AM      0,80    195,70;;;;;;;;8:23:38;AM;0,8;195,7
08:23:48 AM      0,80    180,90;;;;;;;;8:23:48;AM;0,8;180,9
08:23:58 AM      0,90    208,60;;;;;;;;8:23:58;AM;0,9;208,6
08:24:08 AM      0,80    401,30;;;;;;;;8:24:08;AM;0,8;401,3
08:24:18 AM      0,80    221,00;;;;;;;;8:24:18;AM;0,8;221
08:24:28 AM      1,20    230,80;;;;;;;;8:24:28;AM;1,2;230,8
08:24:38 AM      0,90    394,30;;;;;;;;8:24:38;AM;0,9;394,3
08:24:48 AM      1,20    213,60;;;;;;;;8:24:48;AM;1,2;213,6
08:24:58 AM      0,90    205,30;;;;;;;;8:24:58;AM;0,9;205,3
08:25:08 AM      0,80    223,80;;;;;;;;8:25:08;AM;0,8;223,8
08:25:18 AM      0,80    176,70;;;;;;;;8:25:18;AM;0,8;176,7
08:25:28 AM      1,40    258,90;;;;;;;;8:25:28;AM;1,4;258,9
08:25:38 AM      0,80    202,50;;;;;;;;8:25:38;AM;0,8;202,5
08:25:48 AM      0,80    189,20;;;;;;;;8:25:48;AM;0,8;189,2
08:25:58 AM      0,90    332,30;;;;;;;;8:25:58;AM;0,9;332,3
08:26:08 AM      0,80    234,70;;;;;;;;8:26:08;AM;0,8;234,7
08:26:18 AM      0,80    162,00;;;;;;;;8:26:18;AM;0,8;162
08:26:28 AM      1,30    239,40;;;;;;;;8:26:28;AM;1,3;239,4
08:26:38 AM      0,80    345,20;;;;;;;;8:26:38;AM;0,8;345,2
08:26:48 AM      0,80    199,80;;;;;;;;8:26:48;AM;0,8;199,8
08:26:58 AM      0,90    196,40;;;;;;;;8:26:58;AM;0,9;196,4
08:27:08 AM      0,80    382,50;;;;;;;;8:27:08;AM;0,8;382,5
08:27:18 AM      1,20    446,00;;;;;;;;8:27:18;AM;1,2;446
08:27:28 AM      0,90    392,40;;;;;;;;8:27:28;AM;0,9;392,4
08:27:38 AM      0,80    185,30;;;;;;;;8:27:38;AM;0,8;185,3
08:27:48 AM      0,80    180,70;;;;;;;;8:27:48;AM;0,8;180,7
08:27:58 AM      0,90    361,30;;;;;;;;8:27:58;AM;0,9;361,3
08:28:08 AM      0,80    243,60;;;;;;;;8:28:08;AM;0,8;243,6
08:28:18 AM      0,80    205,00;;;;;;;;8:28:18;AM;0,8;205
08:28:28 AM      0,90    550,30;;;;;;;;8:28:28;AM;0,9;550,3
08:28:38 AM      1,10    262,40;;;;;;;;8:28:38;AM;1,1;262,4
08:28:48 AM      0,90    192,20;;;;;;;;8:28:48;AM;0,9;192,2
08:28:58 AM      0,90    209,80;;;;;;;;8:28:58;AM;0,9;209,8
08:29:08 AM      0,80    225,50;;;;;;;;8:29:08;AM;0,8;225,5
08:29:18 AM      0,80    186,60;;;;;;;;8:29:18;AM;0,8;186,6
08:29:28 AM      0,90    225,90;;;;;;;;8:29:28;AM;0,9;225,9
08:29:38 AM      0,80    378,00;;;;;;;;8:29:38;AM;0,8;378
08:29:48 AM      0,80    171,70;;;;;;;;8:29:48;AM;0,8;171,7
08:29:58 AM      0,90    464,50;;;;;;;;8:29:58;AM;0,9;464,5
08:30:08 AM      1,50    281,90;;;;;;;;8:30:08;AM;1,5;281,9
08:30:18 AM      0,80    180,10;;;;;;;;8:30:18;AM;0,8;180,1
08:30:28 AM      0,90    411,00;;;;;;;;8:30:28;AM;0,9;411
08:30:38 AM      0,80    223,50;;;;;;;;8:30:38;AM;0,8;223,5
08:30:48 AM      1,20    196,50;;;;;;;;8:30:48;AM;1,2;196,5
08:30:58 AM      0,90    226,70;;;;;;;;8:30:58;AM;0,9;226,7
08:31:08 AM      0,80    206,50;;;;;;;;8:31:08;AM;0,8;206,5
08:31:18 AM      1,20    212,90;;;;;;;;8:31:18;AM;1,2;212,9
08:31:28 AM      0,90    203,80;;;;;;;;8:31:28;AM;0,9;203,8
08:31:38 AM      0,80    228,90;;;;;;;;8:31:38;AM;0,8;228,9
08:31:48 AM      1,20    191,00;;;;;;;;8:31:48;AM;1,2;191
08:31:58 AM      0,90    279,90;;;;;;;;8:31:58;AM;0,9;279,9
08:32:08 AM      0,80    230,60;;;;;;;;8:32:08;AM;0,8;230,6
08:32:18 AM      0,80    200,00;;;;;;;;8:32:18;AM;0,8;200
08:32:28 AM      0,90    395,50;;;;;;;;8:32:28;AM;0,9;395,5
08:32:38 AM      0,80    244,10;;;;;;;;8:32:38;AM;0,8;244,1
08:32:48 AM      0,80    162,14;;;;;;;;8:32:48;AM;0,8;162,14
08:32:58 AM      1,20    242,30;;;;;;;;8:32:58;AM;1,2;242,3
08:33:08 AM      1,30    225,80;;;;;;;;8:33:08;AM;1,3;225,8
08:33:18 AM      0,90    224,70;;;;;;;;8:33:18;AM;0,9;224,7
08:33:28 AM      0,90    188,80;;;;;;;;8:33:28;AM;0,9;188,8
08:33:38 AM      1,20    256,10;;;;;;;;8:33:38;AM;1,2;256,1
08:33:48 AM      0,80    164,30;;;;;;;;8:33:48;AM;0,8;164,3
08:33:58 AM      0,90    479,60;;;;;;;;8:33:58;AM;0,9;479,6
08:34:08 AM      1,20    262,40;;;;;;;;8:34:08;AM;1,2;262,4
08:34:18 AM      0,80    204,90;;;;;;;;8:34:18;AM;0,8;204,9
08:34:28 AM      0,90    337,40;;;;;;;;8:34:28;AM;0,9;337,4
08:34:38 AM      1,10    237,50;;;;;;;;8:34:38;AM;1,1;237,5
08:34:48 AM      0,90    160,60;;;;;;;;8:34:48;AM;0,9;160,6
08:34:58 AM      0,90    411,20;;;;;;;;8:34:58;AM;0,9;411,2
08:35:08 AM      1,10    213,50;;;;;;;;8:35:08;AM;1,1;213,5
08:35:18 AM      0,90    209,00;;;;;;;;8:35:18;AM;0,9;209
08:35:28 AM      0,90    425,20;;;;;;;;8:35:28;AM;0,9;425,2
08:35:38 AM      0,80    239,00;;;;;;;;8:35:38;AM;0,8;239
08:35:48 AM      0,80    163,90;;;;;;;;8:35:48;AM;0,8;163,9
08:35:58 AM      0,90    238,40;;;;;;;;8:35:58;AM;0,9;238,4
08:36:08 AM      1,50    259,30;;;;;;;;8:36:08;AM;1,5;259,3
08:36:18 AM      0,90    201,10;;;;;;;;8:36:18;AM;0,9;201,1
08:36:28 AM      0,90    213,50;;;;;;;;8:36:28;AM;0,9;213,5
08:36:38 AM      0,80    361,10;;;;;;;;8:36:38;AM;0,8;361,1
08:36:48 AM      0,80    162,40;;;;;;;;8:36:48;AM;0,8;162,4
08:36:58 AM      0,90    213,50;;;;;;;;8:36:58;AM;0,9;213,5
08:37:08 AM      0,80    214,10;;;;;;;;8:37:08;AM;0,8;214,1
08:37:18 AM      1,20    205,10;;;;;;;;8:37:18;AM;1,2;205,1
Average:         0,92    253,67;;;;;;;;;;;
