"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
07:57:13 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked;;;;;;;;;7:57:13;AM;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
07:57:23 AM         1       387      0,00      0,01      0,05         0;;;;;;;;;7:57:23;AM;1;387;0;0,01;0,05;0
07:57:33 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;7:57:33;AM;1;393;0;0,01;0,05;0
07:57:43 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;7:57:43;AM;1;393;0;0,01;0,05;0
07:57:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;7:57:53;AM;0;393;0;0,01;0,05;0
07:58:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;7:58:03;AM;0;393;0;0,01;0,05;0
07:58:13 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;7:58:13;AM;1;393;0;0,01;0,05;0
07:58:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;7:58:23;AM;1;393;0;0,01;0,05;0
07:58:33 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;7:58:33;AM;1;393;0;0,01;0,05;0
07:58:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;7:58:43;AM;0;393;0;0,01;0,05;0
07:58:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;7:58:53;AM;0;393;0;0,01;0,05;0
07:59:03 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;7:59:03;AM;1;394;0;0,01;0,05;0
07:59:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;7:59:13;AM;0;393;0;0,01;0,05;0
07:59:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;7:59:23;AM;1;393;0;0,01;0,05;0
07:59:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;7:59:33;AM;0;393;0;0,01;0,05;0
07:59:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;7:59:43;AM;0;393;0;0,01;0,05;0
07:59:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;7:59:53;AM;0;393;0;0,01;0,05;0
08:00:03 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:00:03;AM;1;394;0;0,01;0,05;0
08:00:13 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:00:13;AM;0;394;0;0,01;0,05;0
08:00:23 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:00:23;AM;1;394;0;0,01;0,05;0
08:00:33 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:00:33;AM;1;394;0;0,01;0,05;0
08:00:43 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:00:43;AM;0;394;0;0,01;0,05;0
08:00:53 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:00:53;AM;1;394;0;0,01;0,05;0
08:01:03 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:01:03;AM;0;394;0;0,01;0,05;0
08:01:13 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:01:13;AM;1;394;0;0,01;0,05;0
08:01:23 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:01:23;AM;0;394;0;0,01;0,05;0
08:01:33 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:01:33;AM;1;394;0;0,01;0,05;0
08:01:43 AM         0       395      0,00      0,01      0,05         0;;;;;;;;;8:01:43;AM;0;395;0;0,01;0,05;0
08:01:53 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:01:53;AM;1;394;0;0,01;0,05;0
08:02:03 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:02:03;AM;1;394;0;0,01;0,05;0
08:02:13 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:02:13;AM;1;394;0;0,01;0,05;0
08:02:23 AM         2       394      0,00      0,01      0,05         0;;;;;;;;;8:02:23;AM;2;394;0;0,01;0,05;0
08:02:33 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:02:33;AM;1;394;0;0,01;0,05;0
08:02:43 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:02:43;AM;0;394;0;0,01;0,05;0
08:02:53 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:02:53;AM;0;394;0;0,01;0,05;0
08:03:03 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:03:03;AM;1;394;0;0,01;0,05;0
08:03:13 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:03:13;AM;1;394;0;0,01;0,05;0
08:03:23 AM         1       395      0,00      0,01      0,05         0;;;;;;;;;8:03:23;AM;1;395;0;0,01;0,05;0
08:03:33 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:03:33;AM;0;394;0;0,01;0,05;0
08:03:43 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:03:43;AM;1;394;0;0,01;0,05;0
08:03:53 AM         1       396      0,00      0,01      0,05         0;;;;;;;;;8:03:53;AM;1;396;0;0,01;0,05;0
08:04:03 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:04:03;AM;0;394;0;0,01;0,05;0
08:04:13 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:04:13;AM;0;394;0;0,01;0,05;0
08:04:23 AM         2       394      0,00      0,01      0,05         0;;;;;;;;;8:04:23;AM;2;394;0;0,01;0,05;0
08:04:33 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:04:33;AM;1;394;0;0,01;0,05;0
08:04:43 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:04:43;AM;0;394;0;0,01;0,05;0
08:04:53 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:04:53;AM;1;394;0;0,01;0,05;0
08:05:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:05:03;AM;0;393;0;0,01;0,05;0
08:05:13 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:05:13;AM;0;394;0;0,01;0,05;0
08:05:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:05:23;AM;1;393;0;0,01;0,05;0
08:05:33 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:05:33;AM;1;393;0;0,01;0,05;0
08:05:43 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:05:43;AM;1;393;0;0,01;0,05;0
08:05:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:05:53;AM;1;393;0;0,01;0,05;0
08:06:03 AM         2       393      0,00      0,01      0,05         0;;;;;;;;;8:06:03;AM;2;393;0;0,01;0,05;0
08:06:13 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:06:13;AM;1;393;0;0,01;0,05;0
08:06:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:06:23;AM;0;393;0;0,01;0,05;0
08:06:33 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:06:33;AM;0;394;0;0,01;0,05;0
08:06:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:06:43;AM;0;393;0;0,01;0,05;0
08:06:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:06:53;AM;0;393;0;0,01;0,05;0
08:07:03 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:07:03;AM;1;393;0;0,01;0,05;0
08:07:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:07:13;AM;0;393;0;0,01;0,05;0
08:07:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:07:23;AM;1;393;0;0,01;0,05;0
08:07:33 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:07:33;AM;1;394;0;0,01;0,05;0
08:07:43 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:07:43;AM;1;393;0;0,01;0,05;0
08:07:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:07:53;AM;1;393;0;0,01;0,05;0
08:08:03 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:08:03;AM;1;393;0;0,01;0,05;0
08:08:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:08:13;AM;0;393;0;0,01;0,05;0
08:08:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:08:23;AM;0;393;0;0,01;0,05;0
08:08:33 AM         1       395      0,00      0,01      0,05         0;;;;;;;;;8:08:33;AM;1;395;0;0,01;0,05;0
08:08:43 AM         1       394      0,00      0,01      0,05         0;;;;;;;;;8:08:43;AM;1;394;0;0,01;0,05;0
08:08:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:08:53;AM;0;393;0;0,01;0,05;0
08:09:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:09:03;AM;0;393;0;0,01;0,05;0
08:09:13 AM         2       393      0,00      0,01      0,05         0;;;;;;;;;8:09:13;AM;2;393;0;0,01;0,05;0
08:09:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:09:23;AM;1;393;0;0,01;0,05;0
08:09:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:09:33;AM;0;393;0;0,01;0,05;0
08:09:43 AM         2       393      0,00      0,01      0,05         0;;;;;;;;;8:09:43;AM;2;393;0;0,01;0,05;0
08:09:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:09:53;AM;0;393;0;0,01;0,05;0
08:10:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:10:03;AM;0;393;0;0,01;0,05;0
08:10:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:10:13;AM;0;393;0;0,01;0,05;0
08:10:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:10:23;AM;1;393;0;0,01;0,05;0
08:10:33 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:10:33;AM;0;394;0;0,01;0,05;0
08:10:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:10:43;AM;0;393;0;0,01;0,05;0
08:10:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:10:53;AM;0;393;0;0,01;0,05;0
08:11:03 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:11:03;AM;1;393;0;0,01;0,05;0
08:11:13 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:11:13;AM;1;393;0;0,01;0,05;0
08:11:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:11:23;AM;1;393;0;0,01;0,05;0
08:11:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:11:33;AM;0;393;0;0,01;0,05;0
08:11:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:11:43;AM;0;393;0;0,01;0,05;0
08:11:53 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:11:53;AM;0;394;0;0,01;0,05;0
08:12:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:12:03;AM;0;393;0;0,01;0,05;0
08:12:13 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:12:13;AM;1;393;0;0,01;0,05;0
08:12:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:12:23;AM;1;393;0;0,01;0,05;0
08:12:33 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:12:33;AM;1;393;0;0,01;0,05;0
08:12:43 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:12:43;AM;1;393;0;0,01;0,05;0
08:12:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:12:53;AM;1;393;0;0,01;0,05;0
08:13:03 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:13:03;AM;1;393;0;0,01;0,05;0
08:13:13 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:13:13;AM;1;393;0;0,01;0,05;0
08:13:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:13:23;AM;1;393;0;0,01;0,05;0
08:13:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:13:33;AM;0;393;0;0,01;0,05;0
08:13:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:13:43;AM;0;393;0;0,01;0,05;0
08:13:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:13:53;AM;0;393;0;0,01;0,05;0
08:14:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:14:03;AM;0;393;0;0,01;0,05;0
08:14:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:14:13;AM;0;393;0;0,01;0,05;0
08:14:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:14:23;AM;0;393;0;0,01;0,05;0
08:14:33 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:14:33;AM;1;393;0;0,01;0,05;0
08:14:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:14:43;AM;0;393;0;0,01;0,05;0
08:14:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:14:53;AM;1;393;0;0,01;0,05;0
08:15:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:15:03;AM;0;393;0;0,01;0,05;0
08:15:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:15:13;AM;0;393;0;0,01;0,05;0
08:15:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:15:23;AM;1;393;0;0,01;0,05;0
08:15:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:15:33;AM;0;393;0;0,01;0,05;0
08:15:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:15:43;AM;0;393;0;0,01;0,05;0
08:15:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:15:53;AM;1;393;0;0,01;0,05;0
08:16:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:16:03;AM;0;393;0;0,01;0,05;0
08:16:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:16:13;AM;0;393;0;0,01;0,05;0
08:16:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:16:23;AM;0;393;0;0,01;0,05;0
08:16:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:16:33;AM;0;393;0;0,01;0,05;0
08:16:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:16:43;AM;0;393;0;0,01;0,05;0
08:16:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:16:53;AM;1;393;0;0,01;0,05;0
08:17:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:17:03;AM;0;393;0;0,01;0,05;0
